ANO;MES;DATA;EMPRESA;FAZENDA;UF;MUNICIPIO;AREA_T;AREA_PRODU;PRECIP_CHIRPS_MM;TEMP_MEDIA_C;UMID_MEDIA_PCT;TEMP_MIN_C;UMID_MIN_PCT;TEMP_MAX_C;UMID_MAX_PCT;NOITES_FRIAS_Eucalipto_<15C;NOITES_FRIAS_Pinus_<5C;DIRECAO_VENTO_GRAUS
2026.0;1.0;2026-01-01;Alvorada;Alvorada;PR;Piraí do Sul;2305,67;1515,62;75,67;20,45;81,39;12,92;43,05;28,16;99,77;7,00;0,00;8,60
2026.0;1.0;2026-01-01;Alvorada;Barra Grande;PR;Doutor Ulysses;494,73;140,95;87,54;21,06;84,04;13,04;36,68;30,26;100,00;4,00;0,00;36,11
2026.0;1.0;2026-01-01;Alvorada;Barro Branco;SP;Apiaí;421,02;187,65;104,05;20,20;85,99;13,32;38,86;29,54;100,00;6,00;0,00;32,24
2026.0;1.0;2026-01-01;Alvorada;Bela Vista;PR;Arapoti;918,50;527,00;84,63;21,66;79,89;13,78;42,17;29,46;100,00;4,00;0,00;5,73
2026.0;1.0;2026-01-01;Alvorada;Boa Vista;PR;Ventania;110,44;41,38;69,13;21,63;79,96;13,73;42,33;29,40;99,99;4,00;0,00;6,11
2026.0;1.0;2026-01-01;Alvorada;Boqueirão;PR;Ibaiti;123,34;58,52;57,97;22,09;78,56;13,99;41,01;30,09;99,96;3,00;0,00;0,65
2026.0;1.0;2026-01-01;Alvorada;Butiá Grande;PR;Jaguariaíva;14,22;12,24;79,25;20,04;83,43;12,51;41,18;28,35;99,82;8,00;0,00;1,95
2026.0;1.0;2026-01-01;Alvorada;Cadeado I;PR;Jaguariaíva;21,16;12,29;87,32;20,15;83,84;12,43;38,58;29,06;100,00;8,00;0,00;0,03
2026.0;1.0;2026-01-01;Alvorada;Cadeado II;PR;Jaguariaíva;22,00;16,79;87,32;20,15;83,84;12,43;38,58;29,06;100,00;8,00;0,00;0,03
2026.0;1.0;2026-01-01;Alvorada;Caratuva II;PR;Arapoti;1567,93;786,24;64,96;22,09;78,56;13,99;41,01;30,09;99,96;3,00;0,00;0,65
2026.0;1.0;2026-01-01;Alvorada;Cercado Grande;PR;Jaguariaíva;443,21;239,26;79,49;20,00;83,04;12,55;40,79;28,30;99,78;8,00;0,00;0,61
2026.0;1.0;2026-01-01;Alvorada;Cinzas;PR;Jaguariaíva;253,08;107,82;70,86;19,86;83,13;12,27;43,18;27,91;99,75;8,00;0,00;4,73
2026.0;1.0;2026-01-01;Alvorada;Enes;PR;Jaguariaíva;5,99;5,70;84,85;20,15;83,84;12,43;38,58;29,06;100,00;8,00;0,00;0,03
2026.0;1.0;2026-01-01;Alvorada;Estação;PR;Sengés;4,82;4,45;83,30;20,15;83,84;12,43;38,58;29,06;100,00;8,00;0,00;0,03
2026.0;1.0;2026-01-01;Alvorada;Gentil;PR;Jaguariaíva;128,65;53,35;76,47;19,90;83,27;12,23;42,56;28,07;99,73;8,00;0,00;0,13
2026.0;1.0;2026-01-01;Alvorada;Imbaú;PR;Congonhinhas;963,14;365,06;74,42;22,73;78,34;14,55;41,26;30,36;99,57;3,00;0,00;1,18
2026.0;1.0;2026-01-01;Alvorada;João Rico;PR;Jaguariaíva;47,60;25,05;75,81;20,04;83,43;12,51;41,18;28,35;99,82;8,00;0,00;1,95
2026.0;1.0;2026-01-01;Alvorada;Karuana;PR;Ventania;335,82;82,32;52,34;22,09;78,56;13,99;41,01;30,09;99,96;3,00;0,00;0,65
2026.0;1.0;2026-01-01;Alvorada;Karuana II;PR;Ventania;1254,33;524,50;57,11;22,09;78,56;13,99;41,01;30,09;99,96;3,00;0,00;0,65
2026.0;1.0;2026-01-01;Alvorada;Lagoa;PR;Jaguariaíva;24,21;10,78;86,07;20,15;83,84;12,43;38,58;29,06;100,00;8,00;0,00;0,03
2026.0;1.0;2026-01-01;Alvorada;Marreca SP;SP;Itapirapuã Paulista;676,15;236,69;124,29;21,57;83,37;12,84;37,00;30,77;100,00;5,00;0,00;0,29
2026.0;1.0;2026-01-01;Alvorada;Moreira;PR;Doutor Ulysses;226,26;67,38;84,79;20,45;83,95;12,76;37,57;29,44;100,00;7,00;0,00;2,54
2026.0;1.0;2026-01-01;Alvorada;Moreiras II;PR;Dr.Ulysses;66,98;28,76;77,61;20,45;83,95;12,76;37,57;29,44;100,00;7,00;0,00;2,54
2026.0;1.0;2026-01-01;Alvorada;Morro Azul;PR;Jaguariaíva;881,66;396,98;79,40;20,15;83,84;12,43;38,58;29,06;100,00;8,00;0,00;0,03
2026.0;1.0;2026-01-01;Alvorada;Pessegueiro;PR;Doutor Ulysses;110,22;66,95;85,11;20,45;83,95;12,76;37,57;29,44;100,00;7,00;0,00;2,54
2026.0;1.0;2026-01-01;Alvorada;Ponderosa;PR;Arapoti;905,35;465,27;61,71;21,14;80,58;13,38;43,16;28,90;99,78;5,00;0,00;9,23
2026.0;1.0;2026-01-01;Alvorada;Pontão;PR;Jaguariaíva;183,62;60,06;84,59;20,01;83,92;12,56;40,27;28,50;99,96;8,00;0,00;41,23
2026.0;1.0;2026-01-01;Alvorada;Ramos;PR;Sengés;70,04;38,16;81,76;20,15;83,84;12,43;38,58;29,06;100,00;8,00;0,00;0,03
2026.0;1.0;2026-01-01;Alvorada;Realeza;PR;Sengés;1153,52;684,81;81,84;19,97;83,38;12,74;38,10;28,82;99,74;8,00;0,00;36,34
2026.0;1.0;2026-01-01;Alvorada;Ribeirão Bonito;PR;Pinhalão;621,16;375,29;59,95;22,45;77,49;14,46;40,76;30,59;99,86;3,00;0,00;344,68
2026.0;1.0;2026-01-01;Alvorada;Roncador;PR;Arapoti;65,61;0,00;76,34;22,13;79,31;14,46;40,23;30,06;99,97;3,00;0,00;1,63
2026.0;1.0;2026-01-01;Alvorada;Rosa do Vale;PR;Arapoti;133,98;82,61;57,62;21,63;79,96;13,73;42,33;29,40;99,99;4,00;0,00;6,11
2026.0;1.0;2026-01-01;Alvorada;Sampaio (Cabana dos Leões);PR;Jaguariaíva;13,04;7,10;68,65;20,22;84,11;12,91;37,93;29,09;100,00;7,00;0,00;38,49
2026.0;1.0;2026-01-01;Alvorada;Santa Helena;PR;Curiúva;545,21;224,06;86,11;22,52;78,10;14,04;42,48;30,46;99,58;3,00;0,00;5,57
2026.0;1.0;2026-01-01;Alvorada;Santo André;PR;Jaguariaíva;387,64;234,80;73,58;19,98;84,10;12,60;38,96;28,69;100,00;8,00;0,00;41,29
2026.0;1.0;2026-01-01;Alvorada;Sobradinho;SP;Bom Sucesso de Itararé;286,15;121,93;98,21;19,80;85,20;12,87;38,11;29,12;100,00;7,00;0,00;33,14
2026.0;1.0;2026-01-01;Alvorada;Sítio das Marrecas;PR;Doutor Ulysses;77,73;35,17;108,40;21,33;83,41;12,63;37,19;30,49;100,00;5,00;0,00;0,87
2026.0;1.0;2026-01-01;Alvorada;Três Pinheiros;PR;Arapoti;262,45;151,15;69,73;22,01;79,19;14,22;40,59;29,99;100,00;3,00;0,00;2,24
2026.0;1.0;2026-01-01;Alvorada;Vitória;PR;Sengés;50,71;35,73;71,25;19,83;84,17;12,71;37,76;28,85;99,85;8,00;0,00;36,78
2026.0;1.0;2026-01-01;Alvorada;Águas Claras;PR;Ventania;239,31;131,95;73,66;21,44;80,64;13,43;43,61;29,08;99,97;5,00;0,00;1,65
2026.0;1.0;2026-01-01;Alvorada - MG;Aline;MG;Andrelândia;47,62;25,72;337,23;19,10;84,02;13,15;35,68;28,22;99,61;7,00;0,00;5,59
2026.0;1.0;2026-01-01;Alvorada - MG;Antonio Fontes;MG;Andrelândia;56,25;32,74;338,53;19,10;84,02;13,15;35,68;28,22;99,61;7,00;0,00;5,59
2026.0;1.0;2026-01-01;Alvorada - MG;Anézio;MG;Liberdade;95,47;48,54;356,13;18,93;83,71;12,99;33,07;28,14;99,68;8,00;0,00;4,81
2026.0;1.0;2026-01-01;Alvorada - MG;Aterrado;MG;Liberdade;200,75;92,25;356,13;18,93;83,71;12,99;33,07;28,14;99,68;8,00;0,00;4,81
2026.0;1.0;2026-01-01;Alvorada - MG;Boca do Mato;MG;Bom Jardim de Minas;29,07;14,78;307,27;19,92;81,95;13,90;31,05;29,72;99,83;6,00;0,00;12,66
2026.0;1.0;2026-01-01;Alvorada - MG;Cachoeira Alta;MG;Andrelândia;93,39;47,08;245,78;19,51;83,00;13,51;35,29;28,75;99,78;7,00;0,00;8,10
2026.0;1.0;2026-01-01;Alvorada - MG;Capichingui;MG;Andrelândia;36,45;20,09;337,06;19,10;84,02;13,15;35,68;28,22;99,61;7,00;0,00;5,59
2026.0;1.0;2026-01-01;Alvorada - MG;Capão Redondo;MG;Andrelândia;44,38;23,48;340,21;18,97;83,65;13,10;34,08;28,15;99,67;8,00;0,00;6,27
2026.0;1.0;2026-01-01;Alvorada - MG;Curraleiro;MG;Liberdade;135,04;65,82;356,20;18,93;83,71;12,99;33,07;28,14;99,68;8,00;0,00;4,81
2026.0;1.0;2026-01-01;Alvorada - MG;Dois Corregos;MG;Bom Jardim de Minas;750,55;524,95;304,44;19,21;83,51;13,36;36,59;28,21;99,77;7,00;0,00;6,28
2026.0;1.0;2026-01-01;Alvorada - MG;Elias;MG;Bom Jardim de Minas;262,93;120,10;320,30;19,28;82,49;13,43;32,43;28,72;99,67;7,00;0,00;9,60
2026.0;1.0;2026-01-01;Alvorada - MG;Estiva;MG;Andrelândia;43,35;22,00;347,70;19,21;83,51;13,36;36,59;28,21;99,77;7,00;0,00;6,28
2026.0;1.0;2026-01-01;Alvorada - MG;Fumal;MG;Andrelândia;295,70;206,81;337,23;19,10;84,02;13,15;35,68;28,22;99,61;7,00;0,00;5,59
2026.0;1.0;2026-01-01;Alvorada - MG;Imbutaia;MG;Bom Jardim de Minas;79,55;48,70;317,36;19,28;82,49;13,43;32,43;28,72;99,67;7,00;0,00;9,60
2026.0;1.0;2026-01-01;Alvorada - MG;Imbutaia 02;MG;Bom Jardim de Minas;618,75;373,26;318,60;19,92;81,95;13,90;31,05;29,72;99,83;6,00;0,00;12,66
2026.0;1.0;2026-01-01;Alvorada - MG;Imbutaia 02-A;MG;Bom Jardim de Minas;28,45;16,38;320,30;19,44;82,36;13,55;32,08;28,97;99,70;7,00;0,00;10,37
