username;nome;perfil;login_data_hora;logout_data_hora;status
valor;valor;admin;2026-04-14 11:26:28;;LOGIN
valor;valor;admin;2026-04-14 11:28:38;;LOGIN
valor;valor;admin;2026-04-14 11:29:27;;LOGIN
valor;valor;admin;2026-04-14 11:31:42;;LOGIN
valor;valor;admin;;2026-04-14 11:33:28;LOGOUT
marcos;Marcos;admin;2026-04-14 11:33:56;;LOGIN
marcos;Marcos;admin;2026-04-14 11:37:39;;LOGIN
marcos;Marcos;admin;2026-04-14 11:37:58;;LOGIN
marcos;Marcos;admin;2026-04-14 11:38:06;;LOGIN
marcos;Marcos;admin;2026-04-14 11:38:29;;LOGIN
marcos;Marcos;admin;2026-04-14 11:39:09;;LOGIN
marcos;Marcos;admin;2026-04-14 11:40:10;;LOGIN
marcos;Marcos;admin;2026-04-14 11:40:13;;LOGIN
marcos;Marcos;admin;2026-04-14 11:40:24;;LOGIN
marcos;Marcos;admin;2026-04-14 13:20:53;;LOGIN
marcos;Marcos;admin;2026-04-14 13:21:22;;LOGIN
marcos;Marcos;admin;2026-04-14 13:25:47;;LOGIN
marcos;Marcos;admin;2026-04-14 13:27:01;;LOGIN
marcos;Marcos;admin;2026-04-14 13:28:30;;LOGIN
marcos;Marcos;admin;2026-04-14 13:29:26;;LOGIN
marcos;Marcos;admin;2026-04-14 13:54:29;;LOGIN
marcos;Marcos;admin;2026-04-14 14:21:43;;LOGIN
marcos;Marcos;admin;2026-04-14 14:35:53;;LOGIN
marcos;Marcos;admin;2026-04-14 14:38:34;;LOGIN
marcos;Marcos;admin;2026-04-14 14:43:13;;LOGIN
marcos;Marcos;admin;2026-04-14 14:44:16;;LOGIN
marcos;Marcos;admin;2026-04-14 14:51:24;;LOGIN
marcos;Marcos;admin;2026-04-14 14:55:43;;LOGIN
marcos;Marcos;admin;2026-04-14 15:09:03;;LOGIN
marcos;Marcos;admin;2026-04-14 15:15:50;;LOGIN
marcos;Marcos;admin;2026-04-14 15:20:40;;LOGIN
marcos;Marcos;admin;2026-04-14 15:29:47;;LOGIN
marcos;Marcos;admin;2026-04-14 15:31:41;;LOGIN
marcos;Marcos;admin;2026-04-14 15:38:26;;LOGIN
marcos;Marcos;admin;2026-04-14 15:45:14;;LOGIN
marcos;Marcos;admin;2026-04-14 15:53:21;;LOGIN
marcos;Marcos;admin;2026-04-14 15:59:35;;LOGIN
marcos;Marcos;admin;2026-04-14 16:07:26;;LOGIN
marcos;Marcos;admin;2026-04-14 16:08:05;;LOGIN
